date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.5731932918230692,724.7734375,713.73046875,969.20703125,99.90486431121826,50000,50000,2026-01-24T00:35:45.003787
2010-02-01,3.894243292013804,741.92578125,730.7421875,985.40234375,101.82696056365967,50115,51000,2026-01-24T00:39:38.658380
2010-03-01,3.3579318006833394,927.55078125,916.22265625,1170.98828125,101.83938121795654,50172,51000,2026-01-24T00:43:00.134288
2010-04-01,4.111152577400207,1066.51171875,1055.25,1309.87890625,101.85381603240967,50254,51000,2026-01-24T00:47:06.803443
2010-05-01,3.7026869654655457,1250.23828125,1238.90625,1493.3515625,101.86818981170654,50336,51000,2026-01-24T00:50:48.964661
2010-06-01,3.7614063660303754,1408.55078125,1397.36328125,1652.0859375,101.88518810272217,50465,51000,2026-01-24T00:54:34.649043
2010-07-01,4.011611918608348,1521.7265625,1510.39453125,1764.7734375,101.89770030975342,50541,51000,2026-01-24T00:58:35.345759
2010-08-01,3.962833531697591,1710.9375,1699.60546875,1954.390625,103.82113933563232,50679,52000,2026-01-24T01:02:33.115770
2010-09-01,3.9722514430681866,1711.09375,1699.76171875,1954.546875,103.83749675750732,50806,52000,2026-01-24T01:06:31.450857
2010-10-01,5.396664412816365,1711.34765625,1700.015625,1954.796875,103.86499309539795,51038,52000,2026-01-24T01:11:55.250721
2010-11-01,5.404257353146871,1717.7421875,1706.41015625,1961.1875,103.88061809539795,51142,52000,2026-01-24T01:17:19.506162
2010-12-01,5.733905506134033,1701.47265625,1690.12109375,1945.0234375,105.80451488494873,51296,53000,2026-01-24T01:23:03.540493
2011-01-01,6.499389203389486,1697.7578125,1686.36328125,1940.7265625,105.82419872283936,51452,53000,2026-01-24T01:29:33.503846
2011-02-01,5.7950930794080096,1670.01953125,1658.625,1912.984375,105.8436689376831,51605,53000,2026-01-24T01:35:21.209433
2011-03-01,5.575733319918315,1687.015625,1675.8671875,1930.3515625,105.86243724822998,51742,53000,2026-01-24T01:40:55.753429
2011-04-01,6.118644539515177,1677.140625,1665.74609375,1920.10546875,105.8804121017456,51853,53000,2026-01-24T01:47:02.872102
2011-05-01,6.1990153074264525,1720.05078125,1708.65625,1961.328125,107.80528545379639,51999,54000,2026-01-24T01:53:14.813019
2011-06-01,5.412633097171783,1720.13671875,1708.7421875,1961.4140625,107.82124614715576,52105,54000,2026-01-24T01:58:39.571006
2011-07-01,5.600700684388479,1720.25390625,1708.859375,1961.53125,107.83961772918701,52250,54000,2026-01-24T02:04:15.613048
2011-08-01,5.1379290620485945,1688.41796875,1677.10546875,1929.90234375,107.85454082489014,52357,54000,2026-01-24T02:09:23.888791
2011-09-01,5.319706706206004,1688.41796875,1677.10546875,1929.90234375,107.87013530731201,52475,54000,2026-01-24T02:14:43.071192
2011-10-01,5.515101567904154,1781.0390625,1769.734375,2022.54296875,107.88685894012451,52619,54000,2026-01-24T02:20:13.977286
2011-11-01,5.463998214403788,1902.79296875,1891.3984375,2144.08203125,109.8068494796753,52741,55000,2026-01-24T02:25:41.817180
2011-12-01,5.037569900353749,1920.34375,1909.0546875,2161.86328125,109.82119274139404,52854,55000,2026-01-24T02:30:44.071373
2012-01-01,5.98975545167923,1902.88671875,1891.4921875,2144.1640625,109.8377332687378,52981,55000,2026-01-24T02:36:43.456701
2012-02-01,5.65197583436966,1885.59765625,1874.203125,2126.875,109.8567762374878,53146,55000,2026-01-24T02:42:22.575254
2012-03-01,5.596037379900614,1904.29296875,1892.8984375,2145.5703125,109.87432384490967,53276,55000,2026-01-24T02:47:58.337495
2012-04-01,6.7882433295249935,1963.30078125,1951.94921875,2204.74609375,111.80057048797607,53428,56000,2026-01-24T02:54:45.632094
2012-05-01,5.682130757967631,1946.140625,1934.74609375,2187.41796875,111.81885051727295,53579,56000,2026-01-24T03:00:26.559938
2012-06-01,5.512690782546997,1971.94921875,1960.69921875,2213.5,111.83581829071045,53720,56000,2026-01-24T03:05:57.321387
2012-07-01,5.9355132460594175,1989.81640625,1978.421875,2231.41796875,111.85397624969482,53864,56000,2026-01-24T03:11:53.452180
2012-08-01,5.446420625845591,1982.8671875,1971.49609375,2224.19140625,111.8706693649292,54013,56000,2026-01-24T03:17:20.237419
2012-09-01,5.871080350875855,2026.5,2015.10546875,2267.77734375,111.88742351531982,54133,56000,2026-01-24T03:23:12.502240
2012-10-01,6.010099693139394,2081.78125,2070.38671875,2323.0625,113.8100996017456,54272,57000,2026-01-24T03:29:13.108221
2012-11-01,5.783692673842112,2083.78125,2072.38671875,2325.0625,113.8287763595581,54430,57000,2026-01-24T03:35:00.129781
2012-12-01,5.296250728766124,2123.94140625,2112.5625,2365.2421875,113.84406566619873,54551,57000,2026-01-24T03:40:17.904825
2013-01-01,6.34734484354655,2154.49609375,2143.1015625,2396.69140625,113.8632001876831,54710,57000,2026-01-24T03:46:38.745516
2013-02-01,5.876169137159983,2124.41015625,2113.0625,2365.875,113.88294506072998,54878,57000,2026-01-24T03:52:31.315663
2013-03-01,5.818638583024343,2132.546875,2121.15234375,2373.82421875,115.80690288543701,55027,58000,2026-01-24T03:58:20.433980
2013-04-01,6.161140501499176,2170.5,2159.10546875,2411.77734375,115.82573223114014,55197,58000,2026-01-24T04:04:30.102409
2013-05-01,5.744731076558431,2181.62890625,2170.2421875,2422.92578125,115.84413433074951,55330,58000,2026-01-24T04:10:14.786273
2013-06-01,5.935496954123179,2155.6796875,2144.30859375,2396.9921875,115.86290264129639,55484,58000,2026-01-24T04:16:10.916094
2013-07-01,5.951514999071757,2214.84765625,2203.453125,2456.6484375,115.88072490692139,55637,58000,2026-01-24T04:22:08.006990
2013-08-01,6.16704793771108,2274.7421875,2263.37890625,2516.0546875,117.80431652069092,55797,59000,2026-01-24T04:28:18.029866
2013-09-01,5.968331778049469,2292.09375,2280.7109375,2533.40625,117.82396984100342,55968,59000,2026-01-24T04:34:16.129773
2013-10-01,6.198131124178569,2311.6015625,2300.20703125,2552.89453125,117.8429822921753,56113,59000,2026-01-24T04:40:28.017641
2013-11-01,5.8563279191652935,2299.03515625,2287.734375,2540.53515625,117.86184215545654,56278,59000,2026-01-24T04:46:19.397316
2013-12-01,5.924091851711273,2346.41796875,2335.23046875,2588.02734375,119.7848539352417,56412,60000,2026-01-24T04:52:14.842827
2014-01-01,6.129776048660278,2308.3984375,2297.00390625,2549.67578125,119.8003568649292,56539,60000,2026-01-24T04:58:22.629392
2014-02-01,6.1068073272705075,2356.1015625,2344.71484375,2597.38671875,119.8195219039917,56700,60000,2026-01-24T05:04:29.037829
2014-03-01,5.615882551670074,2371.19921875,2359.8046875,2612.4765625,119.83658123016357,56829,60000,2026-01-24T05:10:05.990785
2014-04-01,6.763052054246267,2351.171875,2339.77734375,2592.453125,119.85901165008545,57014,60000,2026-01-24T05:16:51.773906
2014-05-01,5.961711851755778,2413.8828125,2402.58984375,2655.38671875,121.78193187713623,57165,61000,2026-01-24T05:22:49.476618
2014-06-01,6.592206164201101,2452.59375,2441.421875,2694.23828125,121.80341625213623,57333,61000,2026-01-24T05:29:25.008988
2014-07-01,6.195939453442891,2472.4765625,2461.28515625,2714.25390625,121.8205976486206,57451,61000,2026-01-24T05:35:36.765355
2014-08-01,6.049076211452484,2486.015625,2474.83984375,2727.64453125,121.8404951095581,57610,61000,2026-01-24T05:41:39.709927
2014-09-01,6.28525462547938,2532.84375,2521.453125,2774.1328125,121.8606367111206,57765,61000,2026-01-24T05:47:56.825205
2014-10-01,6.326551818847657,2530.26953125,2518.875,2772.1875,123.78370952606201,57917,62000,2026-01-24T05:54:16.418314
2014-11-01,6.1489368081092834,2532.0078125,2520.61328125,2773.33984375,123.80278301239014,58068,62000,2026-01-24T06:00:25.354522
2014-12-01,5.88232973019282,2540.9375,2529.7890625,2782.59765625,123.82106304168701,58202,62000,2026-01-24T06:06:18.294308
